Producer,1555,3167600
Consumer,4406,1000
Producer,3088,8039400
Consumer,1316,1000
Consumer,1087,1000
Consumer,259,5700
Producer,1987,3543600
Consumer,3047,1300
Consumer,4635,1000
Producer,4115,2618700
Producer,2117,2923400
Producer,2564,2552600
Consumer,393,1400
Producer,717,2619100
Consumer,3623,1100
Producer,4353,8299200
Consumer,2840,1500
Consumer,2304,1500
Producer,4662,7979800
Consumer,328,1500
Consumer,268,1600
Producer,608,3947300
Consumer,378,2800
Consumer,3554,5800
Consumer,2782,1300
Producer,2272,4609800
Producer,1790,5362100
Producer,520,4281000
Consumer,1713,1400
Consumer,4936,1500
Producer,4330,4280600
Producer,4136,4900200
Consumer,454,1100
Producer,622,3042100
Consumer,1945,1200
Consumer,3451,1700
Producer,2494,4046500
Producer,547,3459300
Consumer,4246,1100
Consumer,2301,4800
Producer,598,3564100
Producer,4849,5944400
Producer,3422,3677800
Consumer,4700,2200
Producer,3469,8011700
Producer,1434,3314000
Producer,219,2780700
Consumer,4351,1700
Consumer,191,1300
Producer,4118,5296000
Consumer,590,1100
Consumer,3030,1200
Consumer,2064,2300
Producer,1792,3563300
Producer,1304,5100400
Consumer,4608,1100
Producer,4117,3657900
Consumer,2341,1800
Producer,2234,5571700
Producer,3197,3562200
Consumer,2432,1700
Consumer,852,22900
Consumer,2918,600
Producer,4969,4588600
Consumer,260,400
Consumer,1971,500
Consumer,3294,800
Producer,4158,6003800
Consumer,437,1200
Consumer,4104,2600
Producer,3024,6463300
Consumer,2638,800
Producer,1313,5059100
Producer,4301,7469200
Consumer,4972,384300
Producer,102,5031100
Producer,3641,5044400
Producer,2591,4889500
Consumer,3227,700
Consumer,4511,1200
Producer,1215,4816500
Producer,414,1900
Producer,3526,4871000
Consumer,2754,600
Producer,4552,7518600
Consumer,2348,600
Producer,2513,4155300
Consumer,1289,400
Consumer,4670,600
Producer,4303,7155000
Consumer,3166,900
Producer,283,4105900
Consumer,3883,1300
Producer,2958,5279900
Producer,520,3436900
Producer,3253,4654500
Producer,915,3101200
Consumer,4017,400
Producer,4326,1541500
Consumer,960,600
Consumer,4748,5200
Producer,4100,7925700
Consumer,3178,500
Producer,409,3004500
Producer,4318,5066500
Consumer,1206,400
Consumer,3821,478700
Producer,4525,2641600
Consumer,576,300
Producer,52,2725800
Producer,1254,2591900
Consumer,385,1600
Producer,1743,2391900
Consumer,3299,600
Producer,3117,5239000
Consumer,4028,500
Consumer,4745,3900
Producer,4453,5569400
Producer,4284,2252700
Consumer,1,700
Consumer,2681,110000
Producer,2854,9131200
Producer,30,2351000
Consumer,3663,1100
Producer,574,4142300
Producer,1864,2264200
Producer,565,1913600
Consumer,1866,500
Producer,279,1935400
Consumer,3798,300
Producer,2402,1556600
Consumer,623,800
Producer,2532,4110100
Consumer,4825,700
Producer,4885,2151600
Producer,587,1913400
Consumer,1931,1200
Producer,572,1494600
Producer,122,4158500
Producer,1025,1489300
Consumer,4059,4700
Producer,1667,940700
Producer,2345,585600
Producer,719,288600
Consumer,1257,400
